acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-1.14,-9.73,1.3,-0.06,0.1,0.05,STD
-1.04,-9.55,1.69,-0.18,0,0.09,STD
-0.92,-9.64,1.64,-0.04,-0.01,0.06,STD
-0.98,-9.58,1.55,-0.17,0.05,0.03,STD
-0.9,-9.54,1.86,-0.1,-0.01,0.01,STD
-0.92,-9.6,1.67,-0.05,0.03,-0.04,STD
-1.09,-9.44,1.59,-0.17,-0.05,-0.03,STD
-1.03,-9.86,1.7,-0.08,0.11,-0.04,STD
-1.09,-9.67,1.61,-0.2,0.09,-0.04,STD
-1.01,-9.68,1.75,-0.12,0,-0.07,STD
-1.07,-9.76,1.71,-0.09,-0.02,-0.12,STD
-1.52,-9.73,1.74,-0.1,-0.02,-0.1,STD
-1.45,-9.62,1.78,-0.05,0.04,0.06,STD
-1.11,-9.77,1.62,-0.03,0.23,0.03,STD
-0.98,-9.61,1.49,-0.07,0.05,0.06,STD
-1.1,-9.52,1.76,-0.08,0,-0.01,STD
-1.13,-9.78,1.42,0.03,0.11,-0.03,STD
-1.3,-9.71,1.35,-0.12,0.07,0.02,STD
-1.05,-9.55,1.65,-0.09,0.17,0.05,STD
-1.08,-9.57,1.43,-0.06,0.08,0,STD
-1.15,-9.68,1.7,-0.14,0.04,-0.01,STD
-1.15,-9.73,1.57,-0.03,0.08,-0.01,STD
-1.13,-9.64,1.42,-0.16,0.09,-0.03,STD
-1.09,-9.56,1.74,-0.09,-0.04,-0.03,STD
-1.17,-9.81,1.44,-0.11,0.02,-0.12,STD
-1.32,-9.63,1.89,-0.17,-0.02,-0.05,STD
-1.2,-9.66,1.75,-0.03,0.01,-0.07,STD
-1.26,-9.65,1.46,-0.11,0.04,-0.07,STD
-1.22,-9.58,1.76,-0.09,-0.05,-0.04,STD
-1.31,-9.63,1.58,-0.06,0.05,-0.04,STD
-1.33,-9.72,1.45,-0.07,0.05,0.02,STD
-1.13,-9.76,1.57,-0.11,0.05,0,STD
-1.25,-9.76,1.71,-0.08,0.02,0.05,STD
-1.06,-9.58,1.7,-0.11,0.05,0.02,STD
-0.86,-9.62,1.81,-0.09,-0.06,-0.01,STD
-1.17,-9.5,1.67,-0.08,-0.17,-0.1,STD
-1.19,-9.65,1.51,-0.07,-0.09,-0.07,STD
-1.23,-9.68,1.67,-0.14,-0.11,-0.04,STD
-1.08,-9.52,1.74,-0.1,-0.07,-0.04,STD
-1.25,-9.67,1.44,-0.09,-0.04,-0.05,STD
-1.09,-9.65,1.91,-0.16,-0.18,-0.02,STD
-1.21,-9.64,1.64,-0.07,-0.09,-0.03,STD
-1.38,-9.57,1.71,-0.11,-0.06,0.02,STD
-0.99,-10.15,1.4,-0.03,-0.08,0.02,STD
